x_2 y_2 r_2 " " x_1 y_1 r_1 " " dx dy dr " " abs(dx+dy)% dr%
0.455 0.537 0.05 " " 0.457031 0.534375 0.049 " " 0.002 0.002 0.001 " " 0.202 0.1
0.255 0.244 0.029 " " 0.252344 0.246094 0.028 " " 0.002 0.002 0.001 " " 0.202 0.1
0.102 0.567 0.044 " " 0.103125 0.56875 0.043 " " 0.001 0.002 0.001 " " 0.201 0.1
0.191 0.662 0.037 " " 0.190625 0.660937 0.037 " " 0.0 0.002 0.0 " " 0.2 0.0
0.097 0.241 0.039 " " 0.0945313 0.242188 0.039 " " 0.002 0.002 0.0 " " 0.202 0.0
0.43 0.305 0.028 " " 0.428906 0.305469 0.029 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.487 0.738 0.033 " " 0.485938 0.739062 0.033 " " 0.001 0.002 0.0 " " 0.201 0.0
0.013 0.702 0.028 " " 0.0140625 0.704687 0.026 " " 0.001 0.002 0.002 " " 0.201 0.2
0.291 0.379 0.058 " " 0.2875 0.378906 0.057 " " 0.003 0.0 0.001 " " 0.003 0.1
0.828 0.181 0.031 " " 0.828906 0.182812 0.032 " " 0.001 0.002 0.001 " " 0.201 0.1
0.652 0.599 0.027 " " 0.649219 0.599219 0.026 " " 0.002 0.0 0.001 " " 0.002 0.1
0.033 0.554 0.028 " " 0.0328125 0.555469 0.032 " " 0.0 0.002 0.004 " " 0.2 0.4
0.116 0.642 0.042 " " 0.114844 0.640625 0.039 " " 0.001 0.002 0.003 " " 0.201 0.3
0.752 0.481 0.037 " " 0.75 0.482031 0.035 " " 0.002 0.001 0.002 " " 0.10200000000000001 0.2
0.377 0.138 0.053 " " 0.378125 0.138281 0.054 " " 0.001 0.0 0.001 " " 0.001 0.1
0.537 0.704 0.03 " " 0.535156 0.703125 0.033 " " 0.002 0.001 0.003 " " 0.10200000000000001 0.3
0.941 0.45 0.036 " " 0.942187 0.450781 0.036 " " 0.001 0.001 0.0 " " 0.101 0.0
0.236 0.531 0.054 " " 0.232812 0.53125 0.049 " " 0.003 0.0 0.005 " " 0.003 0.5
0.174 0.172 0.032 " " 0.173438 0.174219 0.028 " " 0.001 0.002 0.004 " " 0.201 0.4
0.845 0.381 0.053 " " 0.842188 0.380469 0.048 " " 0.003 0.001 0.005 " " 0.10300000000000001 0.5
0.24 0.066 0.031 " " 0.242188 0.0664062 0.026 " " 0.002 0.0 0.005 " " 0.002 0.5
0.474 0.686 0.036 " " 0.471094 0.677344 0.032 " " 0.003 0.009 0.004 " " 0.9029999999999999 0.4
0.378 0.305 0.035 " " 0.375781 0.307031 0.036 " " 0.002 0.002 0.001 " " 0.202 0.1
0.152 0.609 0.033 " " 0.152344 0.611719 0.035 " " 0.001 0.002 0.002 " " 0.201 0.2
0.027 0.319 0.041 " " 0.0265625 0.317969 0.041 " " 0.0 0.001 0.0 " " 0.1 0.0
0.898 0.197 0.032 " " 0.899219 0.196094 0.034 " " 0.002 0.001 0.002 " " 0.10200000000000001 0.2
0.025 0.402 0.046 " " 0.028125 0.402344 0.042 " " 0.003 0.0 0.004 " " 0.003 0.4
0.151 0.566 0.025 " " 0.151562 0.566406 0.026 " " 0.001 0.001 0.001 " " 0.101 0.1
0.547 0.536 0.06 " " 0.545313 0.539062 0.062 " " 0.002 0.003 0.002 " " 0.302 0.2
0.379 0.486 0.048 " " 0.38125 0.486719 0.044 " " 0.002 0.001 0.004 " " 0.10200000000000001 0.4
0.47 0.283 0.045 " " 0.470313 0.280469 0.038 " " 0.0 0.002 0.007 " " 0.2 0.7000000000000001
0.922 0.747 0.033 " " 0.922656 0.746094 0.035 " " 0.001 0.001 0.002 " " 0.101 0.2
0.441 0.349 0.032 " " 0.442187 0.350781 0.029 " " 0.001 0.002 0.003 " " 0.201 0.3
0.859 0.13 0.025 " " 0.858594 0.129688 0.025 " " 0.0 0.0 0.0 " " 0.0 0.0
0.475 0.213 0.038 " " 0.475 0.214844 0.038 " " 0.0 0.002 0.0 " " 0.2 0.0
0.405 0.267 0.031 " " 0.405469 0.26875 0.032 " " 0.0 0.002 0.001 " " 0.2 0.1
0.292 0.462 0.045 " " 0.294531 0.457812 0.044 " " 0.002 0.004 0.001 " " 0.402 0.1
0.19 0.263 0.035 " " 0.189844 0.264062 0.031 " " 0.0 0.002 0.004 " " 0.2 0.4
0.764 0.558 0.031 " " 0.764063 0.558594 0.032 " " 0.0 0.001 0.001 " " 0.1 0.1
0.217 0.352 0.029 " " 0.216406 0.353906 0.027 " " 0.001 0.002 0.002 " " 0.201 0.2
0.128 0.177 0.035 " " 0.127344 0.178906 0.035 " " 0.001 0.002 0.0 " " 0.201 0.0
0.258 0.112 0.035 " " 0.25625 0.1125 0.036 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.338 0.796 0.033 " " 0.335938 0.79375 0.036 " " 0.002 0.002 0.003 " " 0.202 0.3
0.885 0.623 0.044 " " 0.88125 0.622656 0.047 " " 0.004 0.001 0.003 " " 0.10400000000000001 0.3
0.4 0.613 0.061 " " 0.396094 0.614844 0.058 " " 0.004 0.002 0.003 " " 0.20400000000000001 0.3
0.923 0.246 0.031 " " 0.924219 0.247656 0.024 " " 0.002 0.002 0.007 " " 0.202 0.7000000000000001
0.098 0.47 0.032 " " 0.0984375 0.46875 0.029 " " 0.0 0.002 0.003 " " 0.2 0.3
0.167 0.855 0.033 " " 0.166406 0.854688 0.035 " " 0.001 0.0 0.002 " " 0.001 0.2
0.014 0.257 0.032 " " 0.0171875 0.257031 0.038 " " 0.003 0.0 0.006 " " 0.003 0.6
0.212 0.812 0.034 " " 0.211719 0.814844 0.032 " " 0.0 0.003 0.002 " " 0.3 0.2
0.419 0.777 0.056 " " 0.41875 0.779688 0.045 " " 0.0 0.003 0.011 " " 0.3 1.0999999999999999
0.339 0.327 0.027 " " 0.340625 0.327344 0.027 " " 0.002 0.0 0.0 " " 0.002 0.0
0.37 0.689 0.037 " " 0.370313 0.689062 0.036 " " 0.001 0.0 0.001 " " 0.001 0.1
0.798 0.374 0.032 " " 0.798437 0.371875 0.029 " " 0.001 0.002 0.003 " " 0.201 0.3
0.711 0.355 0.028 " " 0.709375 0.35625 0.031 " " 0.002 0.001 0.003 " " 0.10200000000000001 0.3
0.654 0.476 0.049 " " 0.653906 0.473437 0.045 " " 0.0 0.002 0.004 " " 0.2 0.4
0.027 0.63 0.041 " " 0.0265625 0.630469 0.044 " " 0.0 0.001 0.003 " " 0.1 0.3
0.676 0.374 0.037 " " 0.675781 0.375 0.037 " " 0.0 0.001 0.0 " " 0.1 0.0
0.118 0.126 0.022 " " 0.121094 0.128906 0.021 " " 0.003 0.003 0.001 " " 0.303 0.1
0.637 0.419 0.025 " " 0.639063 0.41875 0.023 " " 0.002 0.0 0.002 " " 0.002 0.2
0.766 0.167 0.03 " " 0.766406 0.166406 0.029 " " 0.0 0.001 0.001 " " 0.1 0.1
0.116 0.399 0.031 " " 0.116406 0.396094 0.033 " " 0.001 0.003 0.002 " " 0.301 0.2
0.842 0.711 0.037 " " 0.841406 0.710938 0.037 " " 0.001 0.0 0.0 " " 0.001 0.0
0.385 0.55 0.03 " " 0.383594 0.551562 0.031 " " 0.002 0.002 0.001 " " 0.202 0.1
