x_2 y_2 r_2 " " x_1 y_1 r_1 " " dx dy dr " " abs(dx+dy)% dr%
0.28 0.577 0.029 " " 0.278125 0.577344 0.026 " " 0.002 0.0 0.003 " " 0.002 0.3
0.238 0.325 0.032 " " 0.242188 0.324219 0.032 " " 0.004 0.001 0.0 " " 0.10400000000000001 0.0
0.395 0.52 0.03 " " 0.394531 0.519531 0.03 " " 0.0 0.001 0.0 " " 0.1 0.0
0.802 0.409 0.028 " " 0.802344 0.407031 0.029 " " 0.0 0.002 0.001 " " 0.2 0.1
0.659 0.48 0.054 " " 0.660156 0.478906 0.054 " " 0.001 0.002 0.0 " " 0.201 0.0
0.1 0.735 0.031 " " 0.0992187 0.733594 0.028 " " 0.001 0.002 0.003 " " 0.201 0.3
0.609 0.359 0.035 " " 0.608594 0.357812 0.035 " " 0.0 0.001 0.0 " " 0.1 0.0
0.67 0.653 0.034 " " 0.672656 0.653906 0.032 " " 0.002 0.001 0.002 " " 0.10200000000000001 0.2
0.696 0.54 0.042 " " 0.696094 0.536719 0.039 " " 0.0 0.003 0.003 " " 0.3 0.3
0.835 0.443 0.038 " " 0.8375 0.445312 0.035 " " 0.002 0.002 0.003 " " 0.202 0.3
0.506 0.608 0.029 " " 0.50625 0.608594 0.026 " " 0.0 0.001 0.003 " " 0.1 0.3
0.013 0.448 0.025 " " 0.0148437 0.451562 0.025 " " 0.002 0.003 0.0 " " 0.302 0.0
0.809 0.677 0.027 " " 0.807813 0.678906 0.031 " " 0.001 0.002 0.004 " " 0.201 0.4
0.49 0.175 0.025 " " 0.489844 0.174219 0.026 " " 0.0 0.001 0.001 " " 0.1 0.1
0.016 0.34 0.034 " " 0.0164062 0.338281 0.035 " " 0.001 0.002 0.001 " " 0.201 0.1
0.133 0.573 0.035 " " 0.132031 0.571875 0.036 " " 0.001 0.001 0.001 " " 0.101 0.1
0.278 0.359 0.036 " " 0.279687 0.360938 0.036 " " 0.002 0.002 0.0 " " 0.202 0.0
0.307 0.76 0.027 " " 0.307813 0.764063 0.024 " " 0.001 0.004 0.003 " " 0.401 0.3
0.052 0.347 0.028 " " 0.0539063 0.347656 0.027 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.56 0.376 0.042 " " 0.560938 0.378125 0.044 " " 0.001 0.002 0.002 " " 0.201 0.2
