x_2 y_2 r_2 " " x_1 y_1 r_1 " " dx dy dr " " abs(dx+dy)% dr%
0.505 0.609 0.026 " " 0.504687 0.610937 0.027 " " 0.001 0.002 0.001 " " 0.201 0.1
0.175 0.571 0.03 " " 0.173438 0.571094 0.034 " " 0.002 0.0 0.004 " " 0.002 0.4
0.452 0.472 0.038 " " 0.453906 0.469531 0.042 " " 0.002 0.002 0.004 " " 0.202 0.4
0.405 0.125 0.034 " " 0.405469 0.127344 0.034 " " 0.001 0.002 0.0 " " 0.201 0.0
0.66 0.402 0.029 " " 0.661719 0.403906 0.029 " " 0.002 0.002 0.0 " " 0.202 0.0
0.055 0.187 0.05 " " 0.0578125 0.186719 0.046 " " 0.003 0.0 0.004 " " 0.003 0.4
0.052 0.661 0.05 " " 0.0523437 0.660156 0.045 " " 0.001 0.001 0.005 " " 0.101 0.5
0.382 0.492 0.046 " " 0.383594 0.492188 0.045 " " 0.002 0.0 0.001 " " 0.002 0.1
0.532 0.48 0.034 " " 0.532812 0.479688 0.037 " " 0.001 0.0 0.003 " " 0.001 0.3
0.635 0.473 0.031 " " 0.635938 0.471875 0.027 " " 0.001 0.001 0.004 " " 0.101 0.4
0.508 0.555 0.026 " " 0.507031 0.557031 0.031 " " 0.001 0.002 0.005 " " 0.201 0.5
0.449 0.282 0.032 " " 0.448438 0.282031 0.033 " " 0.001 0.0 0.001 " " 0.001 0.1
0.716 0.291 0.028 " " 0.715625 0.291406 0.029 " " 0.0 0.0 0.001 " " 0.0 0.1
0.221 0.522 0.031 " " 0.220313 0.521875 0.029 " " 0.001 0.0 0.002 " " 0.001 0.2
0.508 0.395 0.033 " " 0.508594 0.398438 0.036 " " 0.001 0.003 0.003 " " 0.301 0.3
0.878 0.672 0.032 " " 0.878906 0.672656 0.035 " " 0.001 0.001 0.003 " " 0.101 0.3
0.404 0.254 0.038 " " 0.405469 0.255469 0.042 " " 0.002 0.002 0.004 " " 0.202 0.4
0.29 0.403 0.034 " " 0.292188 0.401563 0.033 " " 0.002 0.002 0.001 " " 0.202 0.1
0.223 0.169 0.055 " " 0.225 0.169531 0.052 " " 0.002 0.001 0.003 " " 0.10200000000000001 0.3
0.194 0.617 0.039 " " 0.194531 0.620313 0.036 " " 0.001 0.003 0.003 " " 0.301 0.3
0.352 0.178 0.035 " " 0.349219 0.178125 0.033 " " 0.002 0.0 0.002 " " 0.002 0.2
0.527 0.871 0.029 " " 0.528125 0.871094 0.026 " " 0.002 0.0 0.003 " " 0.002 0.3
0.446 0.823 0.031 " " 0.446875 0.821875 0.03 " " 0.001 0.001 0.001 " " 0.101 0.1
0.888 0.305 0.05 " " 0.890625 0.303125 0.048 " " 0.002 0.002 0.002 " " 0.202 0.2
0.272 0.448 0.029 " " 0.271094 0.448438 0.029 " " 0.001 0.001 0.0 " " 0.101 0.0
