x_2 y_2 r_2 " " x_1 y_1 r_1 " " dx dy dr " " abs(dx+dy)% dr%
0.112 0.18 0.031 " " 0.113281 0.180469 0.038 " " 0.002 0.001 0.007 " " 0.10200000000000001 0.7000000000000001
0.837 0.477 0.034 " " 0.836719 0.479688 0.034 " " 0.0 0.003 0.0 " " 0.3 0.0
0.476 0.327 0.032 " " 0.475 0.328125 0.03 " " 0.001 0.002 0.002 " " 0.201 0.2
0.477 0.667 0.031 " " 0.478125 0.666406 0.033 " " 0.001 0.001 0.002 " " 0.101 0.2
0.96 0.397 0.029 " " 0.960938 0.396875 0.029 " " 0.001 0.0 0.0 " " 0.001 0.0
0.92 0.541 0.038 " " 0.917969 0.541406 0.033 " " 0.002 0.0 0.005 " " 0.002 0.5
0.396 0.15 0.033 " " 0.392969 0.150781 0.032 " " 0.003 0.001 0.001 " " 0.10300000000000001 0.1
0.705 0.307 0.034 " " 0.703906 0.307031 0.034 " " 0.001 0.0 0.0 " " 0.001 0.0
0.172 0.121 0.043 " " 0.171875 0.11875 0.044 " " 0.0 0.002 0.001 " " 0.2 0.1
0.338 0.156 0.033 " " 0.3375 0.157813 0.036 " " 0.001 0.002 0.003 " " 0.201 0.3
0.297 0.374 0.04 " " 0.295312 0.371094 0.039 " " 0.002 0.003 0.001 " " 0.302 0.1
0.45 0.119 0.034 " " 0.451562 0.119531 0.037 " " 0.002 0.001 0.003 " " 0.10200000000000001 0.3
0.563 0.32 0.027 " " 0.564844 0.320312 0.03 " " 0.002 0.0 0.003 " " 0.002 0.3
0.307 0.53 0.032 " " 0.30625 0.532031 0.029 " " 0.001 0.002 0.003 " " 0.201 0.3
0.563 0.551 0.029 " " 0.563281 0.550781 0.028 " " 0.0 0.0 0.001 " " 0.0 0.1
0.849 0.673 0.031 " " 0.848437 0.669531 0.032 " " 0.001 0.003 0.001 " " 0.301 0.1
0.438 0.389 0.039 " " 0.439844 0.389062 0.035 " " 0.002 0.0 0.004 " " 0.002 0.4
0.121 0.136 0.029 " " 0.121094 0.135937 0.027 " " 0.0 0.0 0.002 " " 0.0 0.2
0.229 0.309 0.025 " " 0.227344 0.310937 0.026 " " 0.002 0.002 0.001 " " 0.202 0.1
0.195 0.391 0.032 " " 0.196094 0.391406 0.031 " " 0.001 0.0 0.001 " " 0.001 0.1
0.352 0.531 0.029 " " 0.351562 0.535937 0.027 " " 0.001 0.005 0.002 " " 0.501 0.2
0.885 0.486 0.038 " " 0.883594 0.485938 0.036 " " 0.002 0.0 0.002 " " 0.002 0.2
0.403 0.523 0.031 " " 0.403125 0.519531 0.034 " " 0.0 0.003 0.003 " " 0.3 0.3
0.909 0.164 0.027 " " 0.90625 0.165625 0.027 " " 0.002 0.002 0.0 " " 0.202 0.0
0.152 0.304 0.033 " " 0.150781 0.30625 0.036 " " 0.001 0.002 0.003 " " 0.201 0.3
0.616 0.566 0.044 " " 0.615625 0.567969 0.042 " " 0.001 0.002 0.002 " " 0.201 0.2
0.46 0.287 0.027 " " 0.457031 0.289062 0.026 " " 0.003 0.002 0.001 " " 0.203 0.1
0.384 0.352 0.027 " " 0.385156 0.353906 0.027 " " 0.001 0.002 0.0 " " 0.201 0.0
0.814 0.633 0.029 " " 0.814844 0.632031 0.034 " " 0.001 0.001 0.005 " " 0.101 0.5
0.106 0.41 0.035 " " 0.107031 0.410937 0.037 " " 0.001 0.001 0.002 " " 0.101 0.2
