x_2 y_2 r_2 " " x_1 y_1 r_1 " " dx dy dr " " abs(dx+dy)% dr%
0.636 0.228 0.029 " " 0.635156 0.228906 0.031 " " 0.001 0.001 0.002 " " 0.101 0.2
0.312 0.352 0.027 " " 0.313281 0.353906 0.031 " " 0.001 0.002 0.004 " " 0.201 0.4
0.499 0.268 0.032 " " 0.499219 0.26875 0.036 " " 0.0 0.001 0.004 " " 0.1 0.4
0.216 0.499 0.044 " " 0.215625 0.501562 0.043 " " 0.001 0.002 0.001 " " 0.201 0.1
0.609 0.521 0.035 " " 0.609375 0.521094 0.034 " " 0.001 0.0 0.001 " " 0.001 0.1
0.231 0.574 0.05 " " 0.228125 0.578125 0.052 " " 0.003 0.004 0.002 " " 0.403 0.2
0.079 0.249 0.031 " " 0.0789063 0.251563 0.03 " " 0.0 0.002 0.001 " " 0.2 0.1
0.685 0.337 0.053 " " 0.684375 0.336719 0.05 " " 0.001 0.0 0.003 " " 0.001 0.3
0.47 0.24 0.029 " " 0.469531 0.240625 0.029 " " 0.0 0.001 0.0 " " 0.1 0.0
0.108 0.44 0.038 " " 0.105469 0.440625 0.037 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.361 0.138 0.028 " " 0.361719 0.139062 0.028 " " 0.001 0.001 0.0 " " 0.101 0.0
0.163 0.466 0.035 " " 0.1625 0.466406 0.034 " " 0.0 0.001 0.001 " " 0.1 0.1
0.638 0.585 0.03 " " 0.638281 0.584375 0.032 " " 0.0 0.001 0.002 " " 0.1 0.2
0.358 0.854 0.026 " " 0.357031 0.853125 0.026 " " 0.001 0.001 0.0 " " 0.101 0.0
0.041 0.327 0.037 " " 0.0414063 0.33125 0.033 " " 0.001 0.004 0.004 " " 0.401 0.4
0.932 0.547 0.027 " " 0.934375 0.546875 0.028 " " 0.002 0.0 0.001 " " 0.002 0.1
0.859 0.444 0.03 " " 0.859375 0.445312 0.032 " " 0.001 0.002 0.002 " " 0.201 0.2
0.201 0.703 0.033 " " 0.201562 0.701563 0.027 " " 0.001 0.002 0.006 " " 0.201 0.6
0.357 0.359 0.031 " " 0.35625 0.359375 0.032 " " 0.001 0.0 0.001 " " 0.001 0.1
0.574 0.177 0.033 " " 0.575 0.175 0.029 " " 0.001 0.002 0.004 " " 0.201 0.4
0.019 0.474 0.032 " " 0.01875 0.471094 0.031 " " 0.0 0.003 0.001 " " 0.3 0.1
0.688 0.081 0.032 " " 0.689844 0.0796875 0.032 " " 0.002 0.002 0.0 " " 0.202 0.0
0.529 0.155 0.043 " " 0.529688 0.152344 0.045 " " 0.001 0.003 0.002 " " 0.301 0.2
0.159 0.366 0.03 " " 0.160938 0.367969 0.033 " " 0.002 0.002 0.003 " " 0.202 0.3
0.323 0.111 0.03 " " 0.323438 0.113281 0.033 " " 0.001 0.002 0.003 " " 0.201 0.3
0.781 0.599 0.026 " " 0.780469 0.602344 0.024 " " 0.001 0.003 0.002 " " 0.301 0.2
0.364 0.483 0.036 " " 0.364062 0.482812 0.04 " " 0.0 0.0 0.004 " " 0.0 0.4
0.034 0.265 0.034 " " 0.034375 0.267969 0.037 " " 0.0 0.003 0.003 " " 0.3 0.3
0.423 0.43 0.033 " " 0.422656 0.433594 0.032 " " 0.001 0.003 0.001 " " 0.301 0.1
0.163 0.57 0.027 " " 0.164844 0.570312 0.027 " " 0.002 0.0 0.0 " " 0.002 0.0
0.44 0.152 0.038 " " 0.439844 0.150781 0.035 " " 0.0 0.002 0.003 " " 0.2 0.3
0.825 0.634 0.028 " " 0.827344 0.635938 0.026 " " 0.002 0.002 0.002 " " 0.202 0.2
0.031 0.823 0.031 " " 2 2 2 " " 2 2 2 " " 202 200
0.634 0.388 0.042 " " 0.633594 0.389062 0.041 " " 0.0 0.002 0.001 " " 0.2 0.1
0.48 0.634 0.03 " " 0.48125 0.635156 0.027 " " 0.001 0.002 0.003 " " 0.201 0.3
0.337 0.431 0.028 " " 0.335938 0.432813 0.029 " " 0.001 0.002 0.001 " " 0.201 0.1
0.738 0.401 0.026 " " 0.7375 0.40625 0.026 " " 0.0 0.005 0.0 " " 0.5 0.0
0.505 0.313 0.029 " " 0.505469 0.315625 0.028 " " 0.0 0.002 0.001 " " 0.2 0.1
0.235 0.191 0.026 " " 0.235156 0.19375 0.026 " " 0.0 0.002 0.0 " " 0.2 0.0
0.133 0.166 0.03 " " 0.13125 0.166406 0.025 " " 0.002 0.001 0.005 " " 0.10200000000000001 0.5
0.466 0.306 0.031 " " 0.464844 0.304688 0.031 " " 0.001 0.002 0.0 " " 0.201 0.0
0.447 0.841 0.031 " " 0.446875 0.842969 0.032 " " 0.0 0.002 0.001 " " 0.2 0.1
0.804 0.211 0.025 " " 0.803125 0.210156 0.026 " " 0.001 0.001 0.001 " " 0.101 0.1
0.591 0.335 0.022 " " 0.567969 0.3125 0.029 " " 0.023 0.023 0.007 " " 2.323 0.7000000000000001
0.495 0.077 0.03 " " 0.496094 0.0773437 0.03 " " 0.002 0.001 0.0 " " 0.10200000000000001 0.0
0.666 0.252 0.025 " " 0.667969 0.253125 0.024 " " 0.002 0.002 0.001 " " 0.202 0.1
0.325 0.611 0.032 " " 0.326562 0.607031 0.028 " " 0.002 0.004 0.004 " " 0.402 0.4
0.746 0.365 0.023 " " 0.74375 0.366406 0.024 " " 0.002 0.002 0.001 " " 0.202 0.1
0.766 0.394 0.026 " " 0.766406 0.395312 0.025 " " 0.0 0.002 0.001 " " 0.2 0.1
0.28 0.434 0.036 " " 0.278125 0.434375 0.034 " " 0.002 0.001 0.002 " " 0.10200000000000001 0.2
0.208 0.124 0.037 " " 0.209375 0.121875 0.039 " " 0.002 0.002 0.002 " " 0.202 0.2
0.301 0.523 0.065 " " 0.299219 0.524219 0.061 " " 0.002 0.001 0.004 " " 0.10200000000000001 0.4
0.209 0.437 0.027 " " 0.207813 0.435937 0.028 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.345 0.254 0.029 " " 0.344531 0.254687 0.027 " " 0.0 0.001 0.002 " " 0.1 0.2
0.554 0.528 0.042 " " 0.549219 0.525781 0.042 " " 0.005 0.002 0.0 " " 0.20500000000000002 0.0
0.574 0.384 0.035 " " 0.575781 0.383594 0.034 " " 0.002 0.0 0.001 " " 0.002 0.1
0.044 0.626 0.027 " " 0.04375 0.626562 0.026 " " 0.0 0.001 0.001 " " 0.1 0.1
0.616 0.616 0.028 " " 0.614844 0.617188 0.025 " " 0.001 0.001 0.003 " " 0.101 0.3
0.305 0.246 0.033 " " 0.30625 0.244531 0.032 " " 0.001 0.002 0.001 " " 0.201 0.1
0.132 0.503 0.033 " " 0.132031 0.505469 0.031 " " 0.0 0.002 0.002 " " 0.2 0.2
0.012 0.294 0.026 " " 0.0117188 0.292969 0.026 " " 0.0 0.001 0.0 " " 0.1 0.0
