x_2 y_2 r_2 " " x_1 y_1 r_1 " " dx dy dr " " abs(dx+dy)% dr%
0.801 0.354 0.036 " " 0.801562 0.355469 0.036 " " 0.001 0.002 0.0 " " 0.201 0.0
0.412 0.695 0.052 " " 0.413281 0.696094 0.054 " " 0.001 0.002 0.002 " " 0.201 0.2
0.191 0.238 0.025 " " 0.191406 0.241406 0.027 " " 0.0 0.003 0.002 " " 0.3 0.2
0.231 0.67 0.036 " " 0.233594 0.671094 0.038 " " 0.002 0.001 0.002 " " 0.10200000000000001 0.2
0.284 0.226 0.028 " " 0.285937 0.225 0.029 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.278 0.78 0.046 " " 0.278125 0.78125 0.042 " " 0.0 0.001 0.004 " " 0.1 0.4
0.083 0.59 0.057 " " 0.0859375 0.592969 0.058 " " 0.003 0.003 0.001 " " 0.303 0.1
0.389 0.277 0.027 " " 0.389844 0.278125 0.025 " " 0.001 0.001 0.002 " " 0.101 0.2
0.523 0.57 0.034 " " 0.525 0.569531 0.036 " " 0.002 0.0 0.002 " " 0.002 0.2
0.959 0.392 0.035 " " 0.958594 0.390625 0.033 " " 0.0 0.002 0.002 " " 0.2 0.2
0.802 0.255 0.036 " " 0.805469 0.251563 0.033 " " 0.003 0.003 0.003 " " 0.303 0.3
0.398 0.194 0.034 " " 0.396875 0.195312 0.035 " " 0.001 0.002 0.001 " " 0.201 0.1
0.22 0.205 0.03 " " 0.217187 0.205469 0.028 " " 0.002 0.0 0.002 " " 0.002 0.2
0.323 0.677 0.034 " " 0.321875 0.673437 0.034 " " 0.002 0.003 0.0 " " 0.302 0.0
0.341 0.73 0.032 " " 0.345313 0.729688 0.031 " " 0.005 0.001 0.001 " " 0.10500000000000001 0.1
0.613 0.845 0.043 " " 0.614062 0.844531 0.042 " " 0.002 0.0 0.001 " " 0.002 0.1
0.667 0.501 0.057 " " 0.670313 0.505469 0.048 " " 0.003 0.005 0.009 " " 0.503 0.8999999999999999
0.348 0.32 0.046 " " 0.346094 0.320312 0.047 " " 0.002 0.0 0.001 " " 0.002 0.1
0.214 0.397 0.031 " " 0.214062 0.396875 0.031 " " 0.0 0.0 0.0 " " 0.0 0.0
0.072 0.659 0.029 " " 0.0734375 0.658594 0.032 " " 0.002 0.0 0.003 " " 0.002 0.3
0.695 0.073 0.04 " " 0.694531 0.0726563 0.043 " " 0.001 0.0 0.003 " " 0.001 0.3
0.404 0.776 0.029 " " 0.403906 0.777344 0.031 " " 0.0 0.002 0.002 " " 0.2 0.2
0.18 0.458 0.036 " " 0.178125 0.457812 0.038 " " 0.002 0.0 0.002 " " 0.002 0.2
0.501 0.324 0.038 " " 0.5 0.325 0.034 " " 0.001 0.001 0.004 " " 0.101 0.4
0.749 0.463 0.037 " " 0.75 0.465625 0.037 " " 0.001 0.002 0.0 " " 0.201 0.0
