x_2 y_2 r_2 " " x_1 y_1 r_1 " " dx dy dr " " abs(dx+dy)% dr%
0.416 0.144 0.042 " " 0.415625 0.140625 0.045 " " 0.0 0.003 0.003 " " 0.3 0.3
0.234 0.695 0.033 " " 0.235156 0.694531 0.036 " " 0.001 0.001 0.003 " " 0.101 0.3
0.398 0.7 0.028 " " 0.398438 0.703125 0.029 " " 0.001 0.003 0.001 " " 0.301 0.1
0.858 0.396 0.037 " " 0.8625 0.401563 0.037 " " 0.005 0.005 0.0 " " 0.505 0.0
0.855 0.202 0.028 " " 0.853125 0.202344 0.028 " " 0.002 0.0 0.0 " " 0.002 0.0
0.721 0.028 0.048 " " 0.719531 0.025 0.046 " " 0.002 0.003 0.002 " " 0.302 0.2
0.575 0.282 0.028 " " 0.574219 0.283594 0.03 " " 0.001 0.002 0.002 " " 0.201 0.2
0.834 0.613 0.032 " " 0.833594 0.616406 0.034 " " 0.001 0.004 0.002 " " 0.401 0.2
0.679 0.285 0.029 " " 0.678125 0.283594 0.031 " " 0.001 0.002 0.002 " " 0.201 0.2
0.183 0.123 0.032 " " 0.182031 0.119531 0.031 " " 0.001 0.004 0.001 " " 0.401 0.1
0.144 0.591 0.035 " " 0.145313 0.590625 0.033 " " 0.002 0.001 0.002 " " 0.10200000000000001 0.2
0.861 0.526 0.035 " " 0.860937 0.528125 0.036 " " 0.0 0.002 0.001 " " 0.2 0.1
0.108 0.409 0.031 " " 0.108594 0.409375 0.033 " " 0.001 0.001 0.002 " " 0.101 0.2
0.528 0.409 0.047 " " 0.528906 0.405469 0.048 " " 0.001 0.003 0.001 " " 0.301 0.1
0.262 0.402 0.026 " " 0.263281 0.402344 0.027 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.135 0.464 0.032 " " 0.134375 0.464844 0.03 " " 0.001 0.001 0.002 " " 0.101 0.2
0.013 0.333 0.025 " " 0.0125 0.333594 0.022 " " 0.0 0.001 0.003 " " 0.1 0.3
0.83 0.108 0.052 " " 0.828125 0.10625 0.055 " " 0.002 0.002 0.003 " " 0.202 0.3
0.252 0.192 0.031 " " 0.253125 0.198437 0.03 " " 0.002 0.006 0.001 " " 0.602 0.1
0.398 0.406 0.055 " " 0.396094 0.40625 0.044 " " 0.002 0.0 0.011 " " 0.002 1.0999999999999999
0.016 0.475 0.026 " " 0.0164062 0.475781 0.028 " " 0.0 0.001 0.002 " " 0.1 0.2
0.025 0.114 0.039 " " 0.03125 0.116406 0.042 " " 0.006 0.002 0.003 " " 0.20600000000000002 0.3
0.337 0.405 0.025 " " 0.335938 0.40625 0.024 " " 0.001 0.002 0.001 " " 0.201 0.1
0.316 0.53 0.024 " " 0.314844 0.530469 0.025 " " 0.001 0.0 0.001 " " 0.001 0.1
0.375 0.338 0.024 " " 0.377344 0.340625 0.023 " " 0.002 0.003 0.001 " " 0.302 0.1
0.202 0.284 0.031 " " 0.201562 0.284375 0.029 " " 0.001 0.001 0.002 " " 0.101 0.2
0.034 0.58 0.035 " " 0.0335938 0.582031 0.036 " " 0.0 0.002 0.001 " " 0.2 0.1
0.274 0.32 0.027 " " 0.275781 0.320312 0.027 " " 0.002 0.0 0.0 " " 0.002 0.0
0.202 0.44 0.024 " " 0.204688 0.441406 0.023 " " 0.002 0.002 0.001 " " 0.202 0.1
0.813 0.177 0.031 " " 0.8125 0.179688 0.03 " " 0.001 0.003 0.001 " " 0.301 0.1
0.764 0.116 0.029 " " 0.763281 0.117188 0.029 " " 0.001 0.001 0.0 " " 0.101 0.0
0.621 0.678 0.031 " " 0.622656 0.676562 0.03 " " 0.002 0.002 0.001 " " 0.202 0.1
0.345 0.311 0.028 " " 0.347656 0.314063 0.029 " " 0.002 0.003 0.001 " " 0.302 0.1
0.165 0.406 0.036 " " 0.166406 0.407031 0.034 " " 0.002 0.001 0.002 " " 0.10200000000000001 0.2
0.79 0.336 0.041 " " 0.790625 0.335938 0.037 " " 0.001 0.0 0.004 " " 0.001 0.4
0.311 0.248 0.049 " " 0.313281 0.250781 0.046 " " 0.002 0.002 0.003 " " 0.202 0.3
0.706 0.647 0.029 " " 0.703125 0.648438 0.027 " " 0.003 0.002 0.002 " " 0.203 0.2
0.116 0.263 0.053 " " 0.1125 0.263281 0.051 " " 0.003 0.0 0.002 " " 0.003 0.2
0.037 0.514 0.032 " " 0.0375 0.514063 0.033 " " 0.001 0.0 0.001 " " 0.001 0.1
0.18 0.252 0.033 " " 0.178906 0.25 0.031 " " 0.002 0.002 0.002 " " 0.202 0.2
0.7 0.456 0.039 " " 0.700781 0.455469 0.035 " " 0.001 0.001 0.004 " " 0.101 0.4
0.458 0.382 0.03 " " 0.454688 0.38125 0.03 " " 0.003 0.001 0.0 " " 0.10300000000000001 0.0
0.266 0.362 0.024 " " 0.264844 0.364844 0.023 " " 0.002 0.003 0.001 " " 0.302 0.1
0.68 0.754 0.026 " " 0.679688 0.753125 0.029 " " 0.0 0.001 0.003 " " 0.1 0.3
0.866 0.237 0.021 " " 0.865625 0.235938 0.022 " " 0.0 0.002 0.001 " " 0.2 0.1
0.319 0.709 0.029 " " 0.319531 0.707812 0.032 " " 0.001 0.001 0.003 " " 0.101 0.3
0.21 0.186 0.021 " " 0.209375 0.185937 0.02 " " 0.001 0.0 0.001 " " 0.001 0.1
0.417 0.525 0.023 " " 0.417188 0.526563 0.023 " " 0.0 0.002 0.0 " " 0.2 0.0
0.173 0.545 0.027 " " 0.175781 0.545313 0.031 " " 0.002 0.0 0.004 " " 0.002 0.4
0.709 0.583 0.036 " " 0.708594 0.58125 0.035 " " 0.0 0.002 0.001 " " 0.2 0.1
0.562 0.338 0.035 " " 0.558594 0.340625 0.037 " " 0.003 0.003 0.002 " " 0.303 0.2
0.274 0.107 0.037 " " 0.271875 0.10625 0.034 " " 0.002 0.001 0.003 " " 0.10200000000000001 0.3
0.527 0.215 0.03 " " 0.528125 0.216406 0.029 " " 0.001 0.002 0.001 " " 0.201 0.1
0.359 0.202 0.027 " " 0.360938 0.20625 0.03 " " 0.002 0.004 0.003 " " 0.402 0.3
0.579 0.834 0.031 " " 0.577344 0.836719 0.031 " " 0.002 0.003 0.0 " " 0.302 0.0
0.437 0.629 0.029 " " 0.436719 0.632812 0.032 " " 0.0 0.004 0.003 " " 0.4 0.3
0.652 0.71 0.03 " " 0.653125 0.707812 0.03 " " 0.002 0.002 0.0 " " 0.202 0.0
