x_2 y_2 r_2 " " x_1 y_1 r_1 " " dx dy dr " " abs(dx+dy)% dr%
0.795 0.547 0.029 " " 0.796094 0.547656 0.029 " " 0.001 0.001 0.0 " " 0.101 0.0
0.394 0.176 0.035 " " 0.392969 0.174219 0.035 " " 0.001 0.002 0.0 " " 0.201 0.0
0.376 0.755 0.055 " " 0.374219 0.754687 0.052 " " 0.002 0.001 0.003 " " 0.10200000000000001 0.3
0.629 0.648 0.03 " " 0.628906 0.647656 0.028 " " 0.0 0.0 0.002 " " 0.0 0.2
0.444 0.247 0.032 " " 0.442969 0.248437 0.033 " " 0.001 0.002 0.001 " " 0.201 0.1
0.205 0.743 0.048 " " 0.20625 0.74375 0.048 " " 0.002 0.001 0.0 " " 0.10200000000000001 0.0
0.062 0.755 0.026 " " 0.0609375 0.755469 0.025 " " 0.001 0.001 0.001 " " 0.101 0.1
0.753 0.397 0.039 " " 0.752344 0.394531 0.043 " " 0.001 0.002 0.004 " " 0.201 0.4
0.105 0.263 0.037 " " 0.103906 0.2625 0.04 " " 0.001 0.0 0.003 " " 0.001 0.3
0.049 0.709 0.035 " " 0.0523437 0.707812 0.036 " " 0.003 0.001 0.001 " " 0.10300000000000001 0.1
0.33 0.084 0.044 " " 0.330469 0.0804688 0.045 " " 0.001 0.003 0.001 " " 0.301 0.1
0.534 0.138 0.027 " " 0.535156 0.140625 0.026 " " 0.001 0.003 0.001 " " 0.301 0.1
0.411 0.7 0.029 " " 0.410937 0.701563 0.028 " " 0.0 0.002 0.001 " " 0.2 0.1
0.476 0.77 0.03 " " 0.476562 0.770312 0.031 " " 0.001 0.0 0.001 " " 0.001 0.1
0.603 0.205 0.028 " " 0.603906 0.204688 0.027 " " 0.001 0.0 0.001 " " 0.001 0.1
0.505 0.407 0.028 " " 0.504687 0.407031 0.029 " " 0.0 0.0 0.001 " " 0.0 0.1
0.731 0.332 0.051 " " 0.736719 0.329688 0.056 " " 0.005 0.002 0.005 " " 0.20500000000000002 0.5
0.867 0.275 0.03 " " 0.866406 0.277344 0.031 " " 0.001 0.002 0.001 " " 0.201 0.1
0.18 0.16 0.027 " " 0.178906 0.161719 0.03 " " 0.001 0.002 0.003 " " 0.201 0.3
0.332 0.199 0.025 " " 0.332031 0.199219 0.024 " " 0.0 0.0 0.001 " " 0.0 0.1
0.509 0.163 0.025 " " 0.508594 0.165625 0.024 " " 0.001 0.003 0.001 " " 0.301 0.1
0.679 0.329 0.031 " " 0.678906 0.328125 0.032 " " 0.0 0.001 0.001 " " 0.1 0.1
0.536 0.534 0.03 " " 0.538281 0.534375 0.034 " " 0.002 0.001 0.004 " " 0.10200000000000001 0.4
0.698 0.384 0.028 " " 0.697656 0.385156 0.028 " " 0.001 0.002 0.0 " " 0.201 0.0
0.384 0.402 0.027 " " 0.382812 0.403906 0.03 " " 0.002 0.002 0.003 " " 0.202 0.3
0.911 0.256 0.031 " " 0.910156 0.257031 0.037 " " 0.001 0.001 0.006 " " 0.101 0.6
0.896 0.499 0.031 " " 0.897656 0.5 0.031 " " 0.002 0.001 0.0 " " 0.10200000000000001 0.0
0.859 0.174 0.029 " " 0.860156 0.173438 0.031 " " 0.001 0.001 0.002 " " 0.101 0.2
0.245 0.133 0.04 " " 0.246094 0.134375 0.039 " " 0.002 0.002 0.001 " " 0.202 0.1
0.23 0.462 0.039 " " 0.229687 0.464063 0.038 " " 0.001 0.002 0.001 " " 0.201 0.1
0.488 0.07 0.029 " " 0.488281 0.0710938 0.029 " " 0.0 0.001 0.0 " " 0.1 0.0
0.881 0.384 0.044 " " 0.880469 0.379687 0.048 " " 0.001 0.004 0.004 " " 0.401 0.4
0.957 0.105 0.056 " " 0.953906 0.10625 0.058 " " 0.003 0.001 0.002 " " 0.10300000000000001 0.2
0.93 0.455 0.027 " " 0.93125 0.457031 0.026 " " 0.002 0.002 0.001 " " 0.202 0.1
0.103 0.407 0.029 " " 0.104687 0.409375 0.033 " " 0.002 0.002 0.004 " " 0.202 0.4
0.363 0.852 0.029 " " 0.363281 0.853906 0.03 " " 0.0 0.002 0.001 " " 0.2 0.1
0.894 0.309 0.033 " " 0.895312 0.310156 0.034 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.682 0.441 0.03 " " 0.683594 0.442969 0.029 " " 0.002 0.002 0.001 " " 0.202 0.1
0.38 0.691 0.028 " " 0.378125 0.691406 0.028 " " 0.002 0.001 0.0 " " 0.10200000000000001 0.0
0.311 0.171 0.028 " " 0.310937 0.171094 0.026 " " 0.0 0.0 0.002 " " 0.0 0.2
0.841 0.229 0.03 " " 0.841406 0.228906 0.029 " " 0.0 0.0 0.001 " " 0.0 0.1
0.304 0.377 0.03 " " 0.303906 0.379687 0.029 " " 0.0 0.003 0.001 " " 0.3 0.1
0.324 0.652 0.044 " " 0.322656 0.653125 0.044 " " 0.002 0.001 0.0 " " 0.10200000000000001 0.0
0.254 0.417 0.024 " " 0.253125 0.41875 0.023 " " 0.001 0.002 0.001 " " 0.201 0.1
0.563 0.209 0.026 " " 0.563281 0.209375 0.025 " " 0.0 0.001 0.001 " " 0.1 0.1
0.156 0.352 0.032 " " 0.155469 0.352344 0.026 " " 0.001 0.001 0.006 " " 0.101 0.6
0.389 0.645 0.03 " " 0.389062 0.64375 0.033 " " 0.0 0.001 0.003 " " 0.1 0.3
0.502 0.304 0.027 " " 0.502344 0.304688 0.026 " " 0.001 0.001 0.001 " " 0.101 0.1
